" ",ACT,SCENE,ACTOR,AM,AND,ARE,ARTICLE,AS,AT_LEAST_AS,AT_MOST_AS,BETTER,BOTH,COLON,COMMA,DIFFERENT,EITHER,ENTER,EXEUNT,EXIT,FROM,I,IF,INTERJECTION,IS,LBRACKET,LESS,LET,LISTEN_TO_YOUR_HEART,MORE,MUST,MYSELF,NEG_ADJ,NEG_NOUN,NOT,NOTHING,OMNES,OPEN_YOUR_HEART,OPEN_YOUR_MIND,OR,OUGHT,PE,POSSESSIVE,POSTHASTE,POS_ADJ,POS_NOUN,PROCEED,QUESTION,THE_QUOTIENT_BETWEEN,THE_REMAINDER_BETWEEN,RBRACKET,RECALL,REMEMBER,RETURN,SHALL,SO,SPEAK_YOUR_MIND,THAN,THE_DIFFERENCE_BETWEEN,THE_OPPOSITE_OF,THE_PRODUCT_OF,THE_QUOTIENT_OF,THE_REMAINDER_OF,THE_SCR_OF,THE_SUM_OF,THE,TO,TWICE_THRICE_HALF,US,WE,WORSE,YOU,YOURSELF,ANYWORD,$
statement-list,"   lambda","   lambda","   statement  statement-list"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   statement  statement-list"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
statement," "," ","   line"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   enterexit-stmt"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
line," "," ","   ACTOR  COLON  optional-addressee  sentence-list"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
optional-addressee," "," ","   ACTOR  COMMA","   lambda"," ","   lambda"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   lambda","   lambda","   lambda","   lambda"," "," ","   lambda","   lambda"," "," "," "," "," "," "," "," ","   lambda","   lambda"," "," "," "," "," "," "," "," "," "," "," "," ","   lambda","   lambda"," "," "," ","   lambda"," "," "," "," "," "," "," "," "," "," "," "," ","   lambda"," ","   lambda"," "," "
optional-interjection," "," "," ","   lambda"," ","   lambda"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   lambda","   lambda","   INTERJECTION  COMMA","   lambda"," "," ","   lambda","   lambda"," "," "," "," "," "," "," "," ","   lambda","   lambda"," "," "," "," "," "," "," "," "," "," "," "," ","   lambda","   lambda"," "," "," ","   lambda"," "," "," "," "," "," "," "," "," "," "," "," ","   lambda"," ","   lambda"," "," "
sentence-list," "," "," ","   optional-interjection  sentence  sentence-list'"," ","   optional-interjection  sentence  sentence-list'"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   optional-interjection  sentence  sentence-list'","   optional-interjection  sentence  sentence-list'","   optional-interjection  sentence  sentence-list'","   optional-interjection  sentence  sentence-list'"," "," ","   optional-interjection  sentence  sentence-list'","   optional-interjection  sentence  sentence-list'"," "," "," "," "," "," "," "," ","   optional-interjection  sentence  sentence-list'","   optional-interjection  sentence  sentence-list'"," "," "," "," "," "," "," "," "," "," "," "," ","   optional-interjection  sentence  sentence-list'","   optional-interjection  sentence  sentence-list'"," "," "," ","   optional-interjection  sentence  sentence-list'"," "," "," "," "," "," "," "," "," "," "," "," ","   optional-interjection  sentence  sentence-list'"," ","   optional-interjection  sentence  sentence-list'"," "," "
sentence-list',"   lambda","   lambda","   lambda","   optional-interjection  sentence  sentence-list'"," ","   optional-interjection  sentence  sentence-list'"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   optional-interjection  sentence  sentence-list'","   optional-interjection  sentence  sentence-list'","   optional-interjection  sentence  sentence-list'","   optional-interjection  sentence  sentence-list'","   lambda"," ","   optional-interjection  sentence  sentence-list'","   optional-interjection  sentence  sentence-list'"," "," "," "," "," "," "," "," ","   optional-interjection  sentence  sentence-list'","   optional-interjection  sentence  sentence-list'"," "," "," "," "," "," "," "," "," "," "," "," ","   optional-interjection  sentence  sentence-list'","   optional-interjection  sentence  sentence-list'"," "," "," ","   optional-interjection  sentence  sentence-list'"," "," "," "," "," "," "," "," "," "," "," "," ","   optional-interjection  sentence  sentence-list'"," ","   optional-interjection  sentence  sentence-list'"," "," "
sentence," "," "," ","   question  QUESTION"," ","   question  QUESTION"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   assignment  PE","   conditional"," ","   question  QUESTION"," "," ","   goto  PE","   io  PE"," "," "," "," "," "," "," "," ","   io  PE","   io  PE"," "," "," "," "," "," "," "," "," "," "," "," ","   stackop  PE","   stackop  PE"," "," "," ","   io  PE"," "," "," "," "," "," "," "," "," "," "," "," ","   goto  PE"," ","   assignment  PE"," "," "
io," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   LISTEN_TO_YOUR_HEART"," "," "," "," "," "," "," "," ","   OPEN_YOUR_HEART","   OPEN_YOUR_MIND"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   SPEAK_YOUR_MIND"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
enterexit-stmt," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   LBRACKET  enterexit-stmt'"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
