" ",ACT,SCENE,ACTOR,AM,AND,ARE,ARTICLE,AS,AT_LEAST_AS,AT_MOST_AS,BETTER,BOTH,COLON,COMMA,DIFFERENT,EITHER,ENTER,EXEUNT,EXIT,FROM,I,IF,INTERJECTION,IS,LBRACKET,LESS,LET,LISTEN_TO_YOUR_HEART,MORE,MUST,MYSELF,NEG_ADJ,NEG_NOUN,NOT,NOTHING,OMNES,OPEN_YOUR_HEART,OPEN_YOUR_MIND,OR,OUGHT,PE,POSSESSIVE,POSTHASTE,POS_ADJ,POS_NOUN,PROCEED,QUESTION,THE_QUOTIENT_BETWEEN,THE_REMAINDER_BETWEEN,RBRACKET,RECALL,REMEMBER,RETURN,SHALL,SO,SPEAK_YOUR_MIND,THAN,THE_DIFFERENCE_BETWEEN,THE_OPPOSITE_OF,THE_PRODUCT_OF,THE_QUOTIENT_OF,THE_REMAINDER_OF,THE_SCR_OF,THE_SUM_OF,THE,TO,TWICE_THRICE_HALF,US,WE,WORSE,YOU,YOURSELF,ANYWORD,$
keyword''''''," "," ","   keyword'''''''"," ","   keyword'''''''"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   keyword'''''''"," "," "," ","   keyword'''''''"," "," ","   keyword'''''''"," "," ","   keyword'''''''","   keyword'''''''"," "," "," ","   keyword'''''''"," "," "," "," ","   keyword'''''''"," ","   keyword'''''''","   keyword'''''''"," "," "," "," "," "," "," "," "," "," ","   keyword'''''''"," "," "," "," "," "," "," ","   keyword'''''''"," ","   keyword'''''''"," "," ","   WE"," ","   keyword'''''''"," "," "
keyword'''''''," "," ","   keyword''''''''"," ","   keyword''''''''"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   keyword''''''''"," "," "," ","   keyword''''''''"," "," ","   keyword''''''''"," "," ","   keyword''''''''","   keyword''''''''"," "," "," ","   keyword''''''''"," "," "," "," ","   POSSESSIVE"," ","   keyword''''''''","   keyword''''''''"," "," "," "," "," "," "," "," "," "," ","   keyword''''''''"," "," "," "," "," "," "," ","   keyword''''''''"," ","   keyword''''''''"," "," "," "," ","   keyword''''''''"," "," "
keyword''''''''," "," ","   ACTOR"," ","   keyword'''''''''"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   keyword'''''''''"," "," "," ","   keyword'''''''''"," "," ","   keyword'''''''''"," "," ","   keyword'''''''''","   keyword'''''''''"," "," "," ","   keyword'''''''''"," "," "," "," "," "," ","   keyword'''''''''","   keyword'''''''''"," "," "," "," "," "," "," "," "," "," ","   keyword'''''''''"," "," "," "," "," "," "," ","   keyword'''''''''"," ","   keyword'''''''''"," "," "," "," ","   keyword'''''''''"," "," "
keyword'''''''''," "," "," "," ","   keyword''''''''''"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   keyword''''''''''"," "," "," ","   keyword''''''''''"," "," ","   keyword''''''''''"," "," ","   keyword''''''''''","   keyword''''''''''"," "," "," ","   keyword''''''''''"," "," "," "," "," "," ","   keyword''''''''''","   keyword''''''''''"," "," "," "," "," "," "," "," "," "," ","   keyword''''''''''"," "," "," "," "," "," "," ","   keyword''''''''''"," ","   TO"," "," "," "," ","   keyword''''''''''"," "," "
keyword''''''''''," "," "," "," ","   keyword'''''''''''"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   keyword'''''''''''"," "," "," ","   keyword'''''''''''"," "," ","   keyword'''''''''''"," "," ","   keyword'''''''''''","   keyword'''''''''''"," "," "," ","   OPEN_YOUR_HEART"," "," "," "," "," "," ","   keyword'''''''''''","   keyword'''''''''''"," "," "," "," "," "," "," "," "," "," ","   keyword'''''''''''"," "," "," "," "," "," "," ","   keyword'''''''''''"," "," "," "," "," "," ","   keyword'''''''''''"," "," "
keyword'''''''''''," "," "," "," ","   keyword''''''''''''"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   keyword''''''''''''"," "," "," ","   keyword''''''''''''"," "," ","   keyword''''''''''''"," "," ","   keyword''''''''''''","   keyword''''''''''''"," "," "," "," "," "," "," "," "," "," ","   keyword''''''''''''","   keyword''''''''''''"," "," "," "," "," "," "," "," "," "," ","   SPEAK_YOUR_MIND"," "," "," "," "," "," "," ","   keyword''''''''''''"," "," "," "," "," "," ","   keyword''''''''''''"," "," "
keyword''''''''''''," "," "," "," ","   keyword'''''''''''''"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   keyword'''''''''''''"," "," "," ","   keyword'''''''''''''"," "," ","   keyword'''''''''''''"," "," ","   adj","   keyword'''''''''''''"," "," "," "," "," "," "," "," "," "," ","   adj","   keyword'''''''''''''"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   keyword'''''''''''''"," "," "," "," "," "," ","   keyword'''''''''''''"," "," "
keyword'''''''''''''," "," "," "," ","   keyword''''''''''''''"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   keyword''''''''''''''"," "," "," ","   keyword''''''''''''''"," "," ","   keyword''''''''''''''"," "," "," ","   noun"," "," "," "," "," "," "," "," "," "," "," ","   noun"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   keyword''''''''''''''"," "," "," "," "," "," ","   keyword''''''''''''''"," "," "
keyword''''''''''''''," "," "," "," ","   AND"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   keyword'''''''''''''''"," "," "," ","   keyword'''''''''''''''"," "," ","   keyword'''''''''''''''"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   keyword'''''''''''''''"," "," "," "," "," "," ","   keyword'''''''''''''''"," "," "
keyword'''''''''''''''," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   keyword''''''''''''''''"," "," "," ","   keyword''''''''''''''''"," "," ","   keyword''''''''''''''''"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   THE_SUM_OF"," "," "," "," "," "," ","   keyword''''''''''''''''"," "," "
keyword''''''''''''''''," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   keyword'''''''''''''''''"," "," "," ","   LESS"," "," ","   keyword'''''''''''''''''"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   keyword'''''''''''''''''"," "," "
keyword'''''''''''''''''," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   keyword''''''''''''''''''"," "," "," "," "," "," ","   MORE"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   keyword''''''''''''''''''"," "," "
keyword''''''''''''''''''," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   keyword'''''''''''''''''''"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   YOU"," "," "
keyword'''''''''''''''''''," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   IF"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
